sentence_id,words,labels;
1,ıııııı,O;
1,ıııııııııı,O;
1,ıııııııııı,B-PER;
1,ıııııııııııııı,I-PER;
1,ıııııııııııııııı,B-LOC;
1,ıııııııııııııııııııııııııı,I-LOC;
1,ıııııııııııııııı,O;
1,ıııııııııııııııııııı,O;
1,ıııııııııııı,O;
1,ıııııı,O;
1,ıııııııııııııııııııııııııı,O;
1,ıııııııııııııııı,O;
1,ıııııııııııı,O;
1,ıııııııııı,O;
2,ıııııı,O;
2,ıııııııııı,O;
2,ıııııı,O;
2,ıııııııııııııııı,O;
2,ıııııııııııııııııııııııı,O;
"2,"","",O";
2,ıııııııııı,O;
2,ıııııııııııııı,B-PER;
2,ıııııııııı,O;
2,ıııııııı,O;
2,ıııııııııııııııı,O;
2,ıııııı,O;
2,ıııııııı,O;
2,ıııııııııııı,O;
3,ıııııııı,O;
3,ıııı-ıııııııııı,O;
3,ıııııııııııı,O;
3,ıııııı,O;
3,ıııııııııııııııııııııııııı,B-LOC;
3,ıııııııııııııı,O;
3,ıııııııııııııııııııııııı,O;
3,ıııııııııııııııııııı,O;
4,ıııııııııııııııııı,B-LOC;
4,ıııııııııııııııııııııı,O;
4,ıııııııııııııı,B-LOC;
4,ıııııııııııııııı,O;
4,ıııııııııııııı,O;
4,ıııııııııııı,O;
4,ıııııııııııııııııııı,O;
4,ıııııııııııııııııııııı,O;
4,ıııııııııııııııı,O;
4,ıııııııııııı,O;
4,ıııııııı,O;
4,100,O;
4,ıııııı,O;
4,ıııııııııııııııı,O;
4,ıııııı,O;
4,ıııııııııı,O;
4,ıııııııııı,O;
4,ıııııııııı,O;
5,ıııııııııı,O;
5,ıııııııııı,O;
5,ıııııııııııııı,B-LOC;
5,ıııııııııııııııı,O;
5,ıııııııııııııı,O;
5,ıııııııııııııı,O;
5,ıııııııııııııı,O;
5,ıııııııııııııııııııııı,O;
5,ıııııııııııııııııı,O;
6,ıııııııııııı,B-ORG;
6,ııı,O;
6,ıııııııııııııııııııı,B-LOC;
6,ıııııı-ıııı,O;
6,4,O;
6,ıııııııı,O;
6,ıııııııııııı,O;
6,ıııııııııı,O;
"6,"","",O";
6,ıııııııııı,O;
6,ıııııııııııı,O;
6,ıııı,O;
6,ıııııııı,O;
6,ıııııı,O;
"6,"","",O";
6,ıııııı,O;
6,ıııııııııııııııııı,O;
6,ıııııııııııııııı,O;
6,ıııııııııııııı,O;
7,ıııııııııııııııııııııııııııı,O;
7,ıııııııııııııııııııııı,O;
7,ıııııııııııııı,O;
7,ıııııı,O;
7,ıııııııııı,O;
7,19,O;
7,ıııııııııı,O;
7,ıııııııııı,O;
7,ıııııııııı,O;
7,0,O;
7,:,O;
7,00-ıııııı,O;
7,ıııııııııııı,O;
7,ıııııı,O;
7,ıııııııııııııııııııı,O;
7,ıııııııııııı,O;
7,ıııııııı,O;
7,ıııııııııııııııı,O;
"7,"","",O";
7,ıııııııııııııııııııı,O;
7,ıııııııııııııııııııııııııı,O;
7,ıııııııııııııı,O;
7,ıııııııııııııı,O;
7,ıııııııııııııııııııı,O;
"7,"","",O";
7,ıııııııııı,O;
7,ıııııııııııııııııııııııı,O;
7,ıııııııı,O;
7,ıııııı,O;
7,ıııııı,O;
7,ıııııııııııııııııı,O;
7,ıııııııı,O;
7,ıııııııııııııııııı-ıııııııııııııııııııı,B-LOC;
7,ıııııııııııııııııı,O;
7,ıııııııııı,O;
7,ıııııııııııı,O;
7,ıııııııııı,O;
7,ıııııııııııııııı,O;
7,ıııııııııııııııııııı,O;
7,ıııııııııııı,O;
7,ıııııııııı,O;
7,ıııııııııııııı,O;
8,ıııı,O;
8,ıııııııııııııııııı,O;
8,ıııııııııııııııııııı,B-LOC;
8,ıııııııııııııııııııııııııııııı,I-LOC;
8,ıııııııııııııı-ıııııııııııııııı,O;
8,ıııııııııı,B-PER;
8,ıııııııııııı,I-PER;
8,ıı,O;
8,ıııııııııııııııııııııııııı,B-LOC;
8,ıııııııııııııı-ıııııııııııııııı,O;
8,ıııııııııııııı,O;
8,ıııııııııııııııı,O;
8,ıııııııııı,O;
8,ıııııııııııııııııı,O;
8,ıııııııııııı,O;
8,ıı,O;
8,ıııııııııııı,O;
8,ıııııııııııııııııı,O;
9,ıııııııııııı,B-ORG;
9,ııı,O;
9,ıııııııııııııııııııııııı,B-LOC;
9,ıııııı,O;
9,ıııııııııı,O;
9,ıııııııııı,O;
9,ıııııııııı,O;
"9,"","",O";
9,ıııııı,O;
9,ıııııııııııııııııı,O;
9,ıııııııııııııııııııııııııııııı,B-ORG;
10,ıı,O;
10,ıııııı,O;
10,ıııııııııııı,O;
10,ıııııııııı,O;
10,ıııııııııııııı,O;
10,ıııııııııı,O;
10,ıııııııııı,O;
10,ıııııııııııııııııııııııı,O;
10,ıııııııııı,O;
10,ıııııııııı,O;
10,ıııııı,O;
10,ıııııııııııı,O;
"10,"","",O";
10,ıııııııııııııııııııııııı,B-LOC;
10,ıııııııııııııııııııııı,O;
10,ıııııııııııııı,O;
10,ıııı,O;
10,ıııııııııııı,O;
10,ıııııııııııııııııııııııı,O;
10,ıı,O;
"10,"","",O";
10,-,O;
10,ıııııııı,O;
10,ıııııııııııııııııııııııı,O;
11,ıı,O;
11,ıııııııııııııııııı,B-LOC;
11,ıııııııııııııııııııı,O;
11,ıııııııııı,B-PER;
11,ıııııııııııııııııııııııı,I-PER;
11,ıııııııııııı,O;
11,ıııııııııııııııııııııııı,O;
11,ıııııııııııııııııııııııııı,O;
11,ıııııııııııııııııııı,O;
11,ıııııı,O;
11,ıııııı,O;
11,ıııııııııııııııı,O;
"11,"","",O";
11,ıııııııııııııııııııı,O;
11,ıııııııı-ıııııııııııııııı,O;
11,ıııııııııııı,B-PER;
11,ıııııııııı,I-PER;
11,ıııı,I-PER;
11,ıııııııııııııııııııı,I-PER;
11,ıı,O;
11,ıııııııı,O;
11,ıııııııııııııııııııı,B-LOC;
11,ıııııııııııı,O;
11,ıııııııııı,O;
11,ıııııııııııııııııı,O;
11,ıııııııııııııııııı,O;
11,ıııııııııııııııııııı,O;
11,ıııııııııııııııııııııııııı,O;
11,ıııııı,O;
11,ıııııııııııııı,O;
11,ıııııııııııııııı,O;
11,ıııııııııııııııııı,O;
"11,"","",O";
11,ıııııııııııııı,B-LOC;
11,ıııııııııııııııııııııııı,B-LOC;
11,ıııııııııııııııııııııııı,O;
11,ıııııııııııııı,O;
11,ıııııııııııııı,O;
11,ıııııııııııııııı,O;
11,ıııııııııııııı,O;
11,ıı,O;
"11,"","",O";
11,-,O;
11,ıııııı,O;
11,ıııııııııııııııııı,O;
11,ıııııııııııııı,B-LOC;
11,ıııııııııııııııııııı,O;
11,ıııııııı-ıııııııııııııııı,O;
12,ıııııııııııı,B-PER;
12,ıııııııııı,I-PER;
12,ıııı,B-ORG;
12,ıııııııııııııııııııı,I-PER;
12,ıııııııııııı,O;
12,ıııııııııııııııııı,B-LOC;
12,ıııııııııııııııııııı,O;
12,ıııııııııııı,B-PER;
12,ıııııııııııııııııııı,I-PER;
12,ıııııııııııııııııııııııı,O;
12,ıııııııııııııııııııııııııı,O;
12,ıııııııııııııııııııı,O;
12,ıııııı,O;
12,ıııııı,O;
12,ıııııııııııııııı,O;
12,ıııııııııı,B-PER;
12,ıııııııııııı,I-PER;
12,ıııııııı,O;
12,ıııııııııı,B-PER;
12,ıııııııııııı,I-PER;
12,ıııııııııııııı,O;
12,ıııııııııııı,O;
12,ıııııııı,O;
12,ıııııııııııııııııı,O;
12,ıııııııııııııııııııııı,O;
12,ıııııııııııııııııııı,O;
12,ıııııııııııı,O;
12,ıııııııııııııııı,O;
12,ıııııııııııııııııııııı,O;
13,ıııııııııııı,O;
"13,"","",O";
13,ıııııııııııııııııı,B-LOC;
13,ıııııııııııı,O;
13,ıııııııııııııııııııııııııı,O;
13,ıııııııı,O;
13,ıııııııııııııııı,O;
13,ıııııı,O;
13,ıııııııııııııııııı,O;
